not mapped	-	replaced by/mapped	-	Mapped to	-	Remarks (April 2012)
	=	P27694	=	6117	=	
	=	P27695	=	328	=	
	=	P27701	=	3732	=	
	=	P27708	=	790	=	
	=	P27930	=	7850	=	
	=	P27986	=	5295	=	
	=	P28069	=	5449	=	
	=	P28324	=	2005	=	
	=	P28482	=	5594	=	
	=	P28562	=	1843	=	
	=	P28702	=	6257	=	
	=	P28749	=	5933	=	
	=	P28827	=	5797	=	
	=	P28906	=	947	=	
	=	P29034	=	6273	=	
	=	P29274	=	135	=	
	=	P29275	=	136	=	
	=	P29279	=	1490	=	
	=	P29317	=	1969	=	
	=	P29320	=	2042	=	
	=	P29322	=	2046	=	
	=	P29323	=	2048	=	
	=	P29350	=	5777	=	
	=	P29353	=	6464	=	
	=	P29372	=	4350	=	
	=	P29400	=	1287	=	
	=	P29459	=	3592	=	
	=	P29460	=	3593	=	
	=	P29466	=	834	=	
	=	P29474	=	4846	=	
	=	P29590	=	5371	=	
	=	P29597	=	7297	=	
	=	P29965	=	959	=	
	=	P29973	=	1259	=	
	=	P29992	=	2767	=	
	=	P30048	=	10935	=	
	=	P30086	=	5037	=	
	=	P30153	=	5518	=	
	=	P30273	=	2207	=	
	=	P30279	=	894	=	
	=	P30281	=	896	=	
	=	P30291	=	7465	=	
	=	P30304	=	993	=	
	=	P30305	=	994	=	
	=	P30307	=	995	=	
	=	P30411	=	624	=	
	=	P30518	=	554	=	
	=	P30530	=	558	=	
	=	P30533	=	4043	=	
	=	P30556	=	185	=	
	=	P30613	=	5313	=	
	=	P30622	=	6249	=	
	=	P30679	=	2769	=	
	=	P30990	=	4922	=	
	=	P31150	=	2664	=	
	=	P31151	=	6278	=	
	=	P31153	=	4144	=	
	=	P31260	=	3206	=	
	=	P31321	=	5575	=	
	=	P31350	=	6241	=	
	=	P31431	=	6385	=	
	=	P31689	=	3301	=	
	=	P31749	=	207	=	
	=	P31751	=	208	=	
	=	P31785	=	3561	=	
	=	P31946	=	7529	=	
	=	P31947	=	2810	=	
	=	P31994	=	2213	=	
	=	P32004	=	3897	=	
	=	P32121	=	409	=	
	=	P32241	=	7433	=	
	=	P32245	=	4160	=	
	=	P32519	=	1997	=	
	=	P32881	=	3445	=	
	=	P32927	=	1439	=	
	=	P32942	=	3385	=	
	=	P33151	=	1003	=	
	=	P33176	=	3799	=	
	=	P33241	=	4046	=	
	=	P33260	=	1562	=	
	=	P33527	=	4363	=	
	=	P33681	=	941	=	
	=	P33991	=	4173	=	
	=	P33993	=	4176	=	
	=	P34130	=	4909	=	
	=	P34741	=	6383	=	
	=	P34896	=	6470	=	
	=	P34925	=	6259	=	
	=	P34932	=	3308	=	
	=	P34947	=	2869	=	
	=	P35052	=	2817	=	
	=	P35070	=	685	=	
	=	P35125	=	9098	=	
	=	P35221	=	1495	=	
	=	P35222	=	1499	=	
	=	P35225	=	3596	=	
	=	P35226	=	100532731	=	
	=	P35226	=	648	=	
	=	P35228	=	4843	=	
	=	P35236	=	5778	=	
	=	P35240	=	4771	=	
	=	P35241	=	5962	=	
	=	P35247	=	6441	=	
	=	P35249	=	5984	=	
	=	P35250	=	5982	=	
	=	P35251	=	5981	=	
	=	P35318	=	133	=	
	=	P35354	=	5743	=	
	=	P35368	=	147	=	
	=	P35372	=	4988	=	
	=	P35398	=	6095	=	
	=	P35442	=	7058	=	
	=	P35555	=	2200	=	
	=	P35557	=	2645	=	
	=	P35558	=	5105	=	
	=	P35568	=	3667	=	
	=	P35575	=	2538	=	
	=	P35590	=	7075	=	
	=	P35613	=	682	=	
	=	P35626	=	157	=	
	=	P35638	=	1649	=	
	=	P35658	=	8021	=	
	=	P35813	=	5494	=	
	=	P35913	=	5158	=	
	=	P35916	=	2324	=	
	=	P35968	=	3791	=	
	=	P36402	=	6932	=	
	=	P36507	=	5605	=	
	=	P36575	=	407	=	
	=	P36871	=	5236	=	
	=	P36873	=	5501	=	
	=	P36894	=	657	=	
	=	P36897	=	7046	=	
	=	P36952	=	5268	=	
	=	P36956	=	6720	=	
	=	P37023	=	94	=	
	=	P37173	=	7048	=	
	=	P37231	=	5468	=	
	=	P37275	=	6935	=	
	=	P37840	=	6622	=	
	=	P38398	=	672	=	
	=	P38405	=	2774	=	
	=	P38570	=	3682	=	
	=	P38936	=	1026	=	
	=	P39060	=	80781	=	
	=	P39687	=	8125	=	
	=	P39900	=	4321	=	
	=	P39905	=	2668	=	
	=	P40136	=	1158701	=	
	=	P40136	=	2820138	=	
	=	P40136	=	3361726	=	
	=	P40145	=	114	=	
	=	P40189	=	3572	=	
	=	P40259	=	974	=	
	=	P40337	=	7428	=	
	=	P40424	=	5087	=	
	=	P40692	=	4292	=	
	=	P40763	=	6774	=	
	=	P40818	=	9101	=	
	=	P40937	=	5985	=	
	=	P40938	=	5983	=	
	=	P41134	=	3397	=	
	=	P41159	=	3952	=	
	=	P41161	=	2119	=	
	=	P41180	=	846	=	
	=	P41182	=	604	=	
	=	P41221	=	7474	=	
	=	P41227	=	8260	=	
	=	P41235	=	3172	=	
	=	P41240	=	1445	=	
	=	P41279	=	1326	=	
	=	P41743	=	5584	=	
	=	P42081	=	942	=	
	=	P42127	=	434	=	
	=	P42224	=	6772	=	
	=	P42226	=	6778	=	
	=	P42229	=	6776	=	
	=	P42261	=	2890	=	
	=	P42262	=	2891	=	
	=	P42336	=	5290	=	
	=	P42338	=	5291	=	
	=	P42345	=	2475	=	
	=	P42356	=	5297	=	
	=	P42566	=	2060	=	
	=	P42574	=	836	=	
	=	P42575	=	835	=	
	=	P42679	=	4145	=	
	=	P42680	=	7006	=	
	=	P42701	=	3594	=	
	=	P42768	=	7454	=	
	=	P42771	=	1029	=	
	=	P42772	=	1030	=	
	=	P42773	=	1031	=	
	=	P42857	=	27065	=	
	=	P42858	=	3064	=	
	=	P43034	=	5048	=	
	=	P43080	=	2978	=	
	=	P43119	=	5739	=	
	=	P43146	=	1630	=	
	=	P43246	=	4436	=	
	=	P43250	=	2870	=	
	=	P43268	=	2118	=	
	=	P43403	=	7535	=	
	=	P43405	=	6850	=	
	=	P43487	=	5902	=	
	=	P43489	=	7293	=	
	=	P43629	=	3811	=	
	=	P43694	=	2626	=	
	=	P43699	=	7080	=	
	=	P45452	=	4322	=	
	=	P45973	=	23468	=	
	=	P45983	=	5599	=	
	=	P45984	=	5601	=	
	=	P45985	=	6416	=	
	=	P46060	=	5905	=	
	=	P46108	=	1398	=	
	=	P46109	=	1399	=	
	=	P46527	=	1027	=	
	=	P46531	=	4851	=	
	=	P46734	=	5606	=	
	=	P46777	=	6125	=	
	=	P46821	=	4131	=	
	=	P46934	=	4734	=	
	=	P46937	=	10413	=	
	=	P46940	=	8826	=	
	=	P47712	=	5321	=	
	=	P47902	=	1044	=	
	=	P48023	=	356	=	
	=	P48059	=	3987	=	
	=	P48061	=	6387	=	
	=	P48200	=	3658	=	
	=	P48357	=	3953	=	
	=	P48443	=	6258	=	
	=	P48454	=	5533	=	
	=	P48551	=	3455	=	
	=	P48552	=	8204	=	
	=	P48729	=	1452	=	
	=	P48730	=	1453	=	
	=	P48736	=	5294	=	
	=	P48764	=	6550	=	
	=	P49023	=	5829	=	
	=	P49116	=	7182	=	
	=	P49137	=	9261	=	
	=	P49189	=	223	=	
	=	P49257	=	3998	=	
	=	P49279	=	6556	=	
	=	P49281	=	4891	=	
	=	P49327	=	2194	=	
	=	P49407	=	408	=	
	=	P49418	=	273	=	
	=	P49450	=	1058	=	
	=	P49454	=	1063	=	
	=	P49458	=	6726	=	
	=	P49662	=	837	=	
	=	P49674	=	1454	=	
	=	P49682	=	2833	=	
	=	P49715	=	1050	=	
	=	P49716	=	1052	=	
	=	P49736	=	4171	=	
	=	P49748	=	37	=	
	=	P49757	=	8650	=	
	=	P49763	=	5228	=	
	=	P49765	=	7423	=	
	=	P49767	=	7424	=	
	=	P49768	=	5663	=	
	=	P49790	=	9972	=	
	=	P49792	=	5903	=	
	=	P49795	=	10287	=	
	=	P49796	=	5998	=	
	=	P49810	=	5664	=	
	=	P49815	=	7249	=	
	=	P49840	=	2931	=	
	=	P49841	=	2932	=	
	=	P49917	=	3981	=	
	=	P49959	=	4361	=	
	=	P50120	=	5948	=	
	=	P50148	=	2776	=	
	=	P50281	=	4323	=	
	=	P50416	=	1374	=	
	=	P50549	=	2115	=	
	=	P50552	=	7408	=	
	=	P50553	=	429	=	
	=	P50570	=	1785	=	
	=	P50591	=	8743	=	
	=	P50613	=	1022	=	
	=	P51149	=	7879	=	
	=	P51160	=	5146	=	
	=	P51398	=	7818	=	
	=	P51451	=	640	=	
	=	P51531	=	6595	=	
	=	P51532	=	6597	=	
	=	P51587	=	675	=	
	=	P51617	=	3654	=	
	=	P51636	=	858	=	
	=	P51654	=	2719	=	
	=	P51668	=	7321	=	
	=	P51671	=	6356	=	
	=	P51681	=	1234	=	
	=	P51692	=	6777	=	
	=	P51812	=	6197	=	
	=	P51813	=	660	=	
	=	P51828	=	113	=	
	=	P51841	=	2986	=	
	=	P51843	=	190	=	
	=	P51946	=	902	=	
	=	P51948	=	4331	=	
	=	P51955	=	4751	=	
	=	P51959	=	900	=	
	=	P52292	=	3838	=	
	=	P52294	=	3836	=	
	=	P52306	=	5910	=	
	=	P52333	=	3718	=	
	=	P52564	=	5608	=	
	=	P52565	=	396	=	
	=	P52566	=	397	=	
	=	P52630	=	6773	=	
	=	P52735	=	7410	=	
	=	P52757	=	1124	=	
	=	P52789	=	3099	=	
	=	P52797	=	1944	=	
	=	P52799	=	1948	=	
	=	P52803	=	1946	=	
	=	P52945	=	3651	=	
	=	P52952	=	1482	=	
	=	P53041	=	5536	=	
	=	P53350	=	5347	=	
	=	P53355	=	1612	=	
	=	P53365	=	23647	=	
	=	P53420	=	1286	=	
	=	P53539	=	2354	=	
	=	P53611	=	5876	=	
	=	P53621	=	1314	=	
	=	P53667	=	3984	=	
	=	P53671	=	3985	=	
	=	P53708	=	8516	=	
	=	P53778	=	6300	=	
	=	P53779	=	5602	=	
	=	P53805	=	1827	=	
	=	P54132	=	641	=	
	=	P54274	=	7013	=	
	=	P54278	=	5395	=	
	=	P54368	=	4946	=	
	=	P54687	=	586	=	
	=	P54753	=	2049	=	
	=	P54756	=	2044	=	
	=	P54760	=	2050	=	
	=	P54762	=	2047	=	
	=	P54764	=	2043	=	
	=	P54826	=	2619	=	
	=	P54868	=	3158	=	
	=	P55001	=	4237	=	
	=	P55042	=	6236	=	
	=	P55055	=	7376	=	
	=	P55060	=	1434	=	
	=	P55064	=	362	=	
	=	P55196	=	4301	=	
	=	P55210	=	840	=	
	=	P55211	=	842	=	
	=	P55212	=	839	=	
	=	P55268	=	3913	=	
	=	P55316	=	2290	=	
	=	P55317	=	3169	=	
	=	P55318	=	3171	=	
	=	P55851	=	7351	=	
	=	P55895	=	5897	=	
	=	P55957	=	637	=	
	=	P56159	=	2674	=	
	=	P56177	=	1745	=	
	=	P56178	=	1749	=	
	=	P56179	=	1750	=	
	=	P56181	=	4731	=	
	=	P56199	=	3672	=	
	=	P56524	=	9759	=	
	=	P56539	=	859	=	
	=	P56703	=	7473	=	
	=	P56704	=	89780	=	
	=	P56706	=	7477	=	
	=	P56915	=	145258	=	
	=	P56945	=	9564	=	
	=	P56975	=	10718	=	
	=	P57059	=	150094	=	
	=	P57071	=	63977	=	
	=	P57087	=	58494	=	
	=	P57723	=	57060	=	
	=	P57729	=	23682	=	
	=	P58335	=	118429	=	
	=	P58753	=	114609	=	
	=	P59665	=	1667	=	
	=	P59665	=	728358	=	
	=	P59768	=	54331	=	
	=	P59998	=	10093	=	
	=	P60033	=	975	=	
	=	P60228	=	3646	=	
	=	P60484	=	5728	=	
	=	P60568	=	3558	=	
	=	P60842	=	1973	=	
	=	P60880	=	6616	=	
	=	P60953	=	998	=	
	=	P61024	=	1163	=	
	=	P61073	=	7852	=	
	=	P61077	=	7323	=	
	=	P61081	=	9040	=	
	=	P61088	=	7334	=	
	=	P61158	=	10096	=	
	=	P61160	=	10097	=	
	=	P61224	=	5908	=	
	=	P61244	=	4149	=	
	=	P61586	=	387	=	
	=	P61626	=	4069	=	
	=	P61764	=	6812	=	
	=	P61769	=	567	=	
	=	P61812	=	7042	=	
	=	P61956	=	6613	=	
	=	P61964	=	11091	=	
	=	P61968	=	8543	=	
	=	P61981	=	7532	=	
	=	P62136	=	5499	=	
	=	P62140	=	5500	=	
	=	P62158	=	801	=	
	=	P62158	=	805	=	
	=	P62158	=	808	=	
	=	P62258	=	7531	=	
	=	P62330	=	382	=	
	=	P62491	=	8766	=	
	=	P62714	=	5516	=	
	=	P62736	=	59	=	
	=	P62745	=	388	=	
	=	P62753	=	6194	=	
	=	P62805	=	121504	=	
	=	P62805	=	554313	=	
	=	P62805	=	8294	=	
	=	P62805	=	8359	=	
	=	P62805	=	8360	=	
	=	P62805	=	8361	=	
	=	P62805	=	8362	=	
	=	P62805	=	8363	=	
	=	P62805	=	8364	=	
	=	P62805	=	8365	=	
	=	P62805	=	8366	=	
	=	P62805	=	8367	=	
	=	P62805	=	8368	=	
	=	P62805	=	8370	=	
	=	P62820	=	5861	=	
	=	P62826	=	5901	=	
	=	P62829	=	9349	=	
	=	P62834	=	5906	=	
	=	P62837	=	7322	=	
	=	P62873	=	2782	=	
	=	P62877	=	9978	=	
	=	P62913	=	6135	=	
	=	P62942	=	2280	=	
	=	P62993	=	2885	=	
	=	P63000	=	5879	=	
	=	P63027	=	6844	=	
	=	P63096	=	2770	=	
	=	P63104	=	7534	=	
	=	P63151	=	5520	=	
	=	P63165	=	7341	=	
	=	P63172	=	6993	=	
	=	P63208	=	6500	=	
	=	P63211	=	2792	=	
	=	P63244	=	10399	=	
	=	P63279	=	7329	=	
	=	P67775	=	5515	=	
	=	P67809	=	4904	=	
	=	P67870	=	1460	=	
	=	P68036	=	7332	=	
	=	P68133	=	58	=	
	=	P68363	=	10376	=	
	=	P68400	=	1457	=	
	=	P68402	=	5049	=	
	=	P69892	=	3048	=	
	=	P78314	=	6452	=	
	=	P78352	=	1742	=	
	=	P78368	=	1455	=	
	=	P78396	=	8900	=	
	=	P78423	=	6376	=	
	=	P78504	=	182	=	
	=	P78509	=	5649	=	
	=	P78527	=	5591	=	
	=	P78536	=	6868	=	
	=	P78543	=	7832	=	
	=	P78552	=	3597	=	
	=	P78560	=	8738	=	
	=	P80108	=	2822	=	
	=	P80370	=	8788	=	
	=	P82094	=	7110	=	
	=	P84022	=	4088	=	
	=	P84077	=	375	=	
	=	P84085	=	381	=	
	=	P84095	=	391	=	
Q66I33	=	P84243	=	3020	=	
	=	P85298	=	23779	=	
	=	P85299	=	55615	=	
	=	P98077	=	25759	=	
	=	P98082	=	1601	=	
	=	P98155	=	7436	=	
	=	P98164	=	4036	=	
	=	P98170	=	331	=	
	=	P98171	=	393	=	
	=	P98172	=	1947	=	
	=	P98174	=	2245	=	
	=	P98177	=	4303	=	
	=	P99999	=	54205	=	
	=	Q00005	=	5521	=	
	=	Q00169	=	5306	=	
	=	Q00325	=	5250	=	
	=	Q00534	=	1021	=	
	=	Q00535	=	1020	=	
	=	Q00597	=	2176	=	
	=	Q00610	=	1213	=	
	=	Q00613	=	3297	=	
	=	Q00653	=	4791	=	
	=	Q00688	=	2287	=	
	=	Q00722	=	5330	=	
	=	Q00978	=	10379	=	
	=	Q00987	=	4193	=	
	=	Q00994	=	27018	=	
	=	Q01082	=	6711	=	
	=	Q01094	=	1869	=	
	=	Q01105	=	6418	=	
	=	Q01196	=	861	=	
	=	Q01201	=	5971	=	
	=	Q01344	=	3568	=	
	=	Q01362	=	2206	=	
	=	Q01453	=	5376	=	
	=	Q01581	=	3157	=	
	=	Q01826	=	6304	=	
	=	Q01844	=	2130	=	
	=	Q01851	=	5457	=	
	=	Q01860	=	5460	=	
	=	Q01955	=	1285	=	
	=	Q01959	=	6531	=	
	=	Q01970	=	5331	=	
	=	Q01974	=	4920	=	
	=	Q01995	=	6876	=	
	=	Q02078	=	4205	=	
	=	Q02156	=	5581	=	
	=	Q02224	=	1062	=	
	=	Q02241	=	9493	=	
	=	Q02297	=	3084	=	
	=	Q02338	=	622	=	
	=	Q02363	=	3398	=	
	=	Q02388	=	1294	=	
	=	Q02447	=	6670	=	
	=	Q02548	=	5079	=	
	=	Q02556	=	3394	=	
	=	Q02750	=	5604	=	
	=	Q02763	=	7010	=	
	=	Q02779	=	4294	=	
	=	Q02790	=	2288	=	
	=	Q02846	=	3000	=	
	=	Q03001	=	667	=	
O75519	=	Q03060	=	1390	=	
	=	Q03113	=	2768	=	
	=	Q03135	=	857	=	
	=	Q03167	=	7049	=	
	=	Q03181	=	5467	=	
	=	Q03252	=	84823	=	
	=	Q03405	=	5329	=	
	=	Q03518	=	6890	=	
	=	Q03701	=	10153	=	
	=	Q03933	=	3298	=	
	=	Q04206	=	5970	=	
	=	Q04637	=	1981	=	
	=	Q04695	=	3872	=	
	=	Q04721	=	4853	=	
	=	Q04724	=	7088	=	
	=	Q04725	=	7089	=	
	=	Q04727	=	7091	=	
	=	Q04759	=	5588	=	
	=	Q04771	=	90	=	
	=	Q04844	=	1145	=	
	=	Q04864	=	5966	=	
	=	Q04912	=	4486	=	
	=	Q04917	=	7533	=	
	=	Q05048	=	1477	=	
	=	Q05066	=	6736	=	
	=	Q05086	=	7337	=	
	=	Q05193	=	1759	=	
	=	Q05195	=	4084	=	
	=	Q05397	=	5747	=	
	=	Q05513	=	5590	=	
	=	Q05655	=	5580	=	
	=	Q06124	=	5781	=	
	=	Q06187	=	695	=	
	=	Q06330	=	3516	=	
	=	Q06413	=	4208	=	
	=	Q06520	=	6822	=	
	=	Q06609	=	5888	=	
	=	Q06830	=	5052	=	
	=	Q06889	=	1960	=	
	=	Q07011	=	3604	=	
	=	Q07157	=	7082	=	
	=	Q07325	=	4283	=	
	=	Q07352	=	677	=	
	=	Q07444	=	3822	=	
	=	Q07444	=	3823	=	
	=	Q07654	=	7033	=	
P55269	=	Q07812	=	581	=	
	=	Q07812	=	581	=	
	=	Q07817	=	598	=	
	=	Q07820	=	4170	=	
	=	Q07866	=	3831	=	
	=	Q07869	=	5465	=	
	=	Q07889	=	6654	=	
	=	Q07890	=	6655	=	
	=	Q07912	=	10188	=	
	=	Q07954	=	4035	=	
	=	Q07960	=	392	=	
	=	Q08050	=	2305	=	
	=	Q08116	=	5996	=	
	=	Q08117	=	166	=	
	=	Q08209	=	5530	=	
	=	Q08379	=	2801	=	
	=	Q08431	=	4240	=	
	=	Q08462	=	108	=	
	=	Q08722	=	961	=	
	=	Q08752	=	5481	=	
	=	Q08828	=	107	=	
	=	Q08881	=	3702	=	
	=	Q08945	=	6749	=	
	=	Q08999	=	5934	=	
	=	Q08J23	=	54888	=	
	=	Q09028	=	5928	=	
	=	Q09327	=	4248	=	
	=	Q09428	=	6833	=	
	=	Q09472	=	2033	=	
	=	Q0VG06	=	80233	=	
	=	Q10567	=	162	=	
	=	Q12774	=	7984	=	
	=	Q12778	=	2308	=	
	=	Q12800	=	7024	=	
	=	Q12802	=	11214	=	
	=	Q12824	=	6598	=	
	=	Q12834	=	991	=	
	=	Q12837	=	5458	=	
	=	Q12846	=	6810	=	
	=	Q12851	=	5871	=	
	=	Q12852	=	7786	=	
	=	Q12857	=	4774	=	
	=	Q12860	=	1272	=	
	=	Q12873	=	1107	=	
	=	Q12879	=	2903	=	
	=	Q12888	=	7158	=	
	=	Q12913	=	5795	=	
	=	Q12923	=	5783	=	
	=	Q12929	=	2059	=	
	=	Q12933	=	7186	=	
	=	Q12946	=	2294	=	
	=	Q12959	=	1739	=	
	=	Q12962	=	6881	=	
	=	Q12967	=	5900	=	
	=	Q12968	=	4775	=	
	=	Q12974	=	8073	=	
	=	Q12979	=	29	=	
	=	Q12983	=	664	=	
	=	Q13007	=	11009	=	
	=	Q13009	=	7074	=	
	=	Q13017	=	394	=	
	=	Q13077	=	7185	=	
	=	Q13087	=	64714	=	
	=	Q13093	=	7941	=	
	=	Q13094	=	3937	=	
	=	Q13099	=	8100	=	
	=	Q13105	=	7709	=	
	=	Q13114	=	7187	=	
	=	Q13133	=	10062	=	
	=	Q13145	=	25805	=	
	=	Q13153	=	5058	=	
	=	Q13158	=	8772	=	
	=	Q13163	=	5607	=	
	=	Q13164	=	5598	=	
	=	Q13177	=	5062	=	
	=	Q13191	=	868	=	
	=	Q13202	=	1850	=	
	=	Q13224	=	2904	=	
	=	Q13233	=	4214	=	
	=	Q13239	=	6503	=	
	=	Q13253	=	9241	=	
	=	Q13258	=	5729	=	
	=	Q13263	=	10155	=	
	=	Q13309	=	6502	=	
	=	Q13315	=	472	=	
	=	Q13316	=	1758	=	
	=	Q13319	=	8941	=	
	=	Q13322	=	2887	=	
	=	Q13330	=	9112	=	
	=	Q13349	=	3681	=	
	=	Q13361	=	8076	=	
	=	Q13363	=	1487	=	
	=	Q13370	=	5140	=	
	=	Q13393	=	5337	=	
	=	Q13404	=	387522	=	
	=	Q13404	=	7335	=	
	=	Q13415	=	4998	=	
	=	Q13418	=	3611	=	
	=	Q13422	=	10320	=	
	=	Q13424	=	6640	=	
	=	Q13426	=	7518	=	
	=	Q13438	=	10956	=	
	=	Q13444	=	8751	=	
	=	Q13451	=	2289	=	
	=	Q13459	=	4650	=	
	=	Q13464	=	6093	=	
	=	Q13467	=	7855	=	
	=	Q13469	=	4773	=	
	=	Q13472	=	7156	=	
	=	Q13477	=	8174	=	
	=	Q13478	=	8809	=	
	=	Q13480	=	2549	=	
	=	Q13485	=	4089	=	
	=	Q13489	=	330	=	
	=	Q13490	=	329	=	
	=	Q13501	=	8878	=	
	=	Q13507	=	7222	=	
	=	Q13510	=	427	=	
	=	Q13526	=	5300	=	
	=	Q13535	=	545	=	
	=	Q13541	=	1978	=	
	=	Q13546	=	8737	=	
	=	Q13547	=	3065	=	
	=	Q13554	=	816	=	
	=	Q13555	=	818	=	
	=	Q13557	=	817	=	
	=	Q13568	=	3663	=	
	=	Q13586	=	6786	=	
	=	Q13596	=	6642	=	
	=	Q13616	=	8454	=	
	=	Q13617	=	8453	=	
	=	Q13618	=	8452	=	
	=	Q13625	=	7159	=	
	=	Q13635	=	5727	=	
	=	Q13671	=	9610	=	
	=	Q13683	=	3679	=	
	=	Q13705	=	93	=	
	=	Q13751	=	3914	=	
	=	Q13753	=	3918	=	
	=	Q13761	=	864	=	
	=	Q13765	=	4666	=	
	=	Q13772	=	8031	=	
	=	Q13794	=	5366	=	
	=	Q13797	=	3680	=	
	=	Q13813	=	6709	=	
	=	Q13873	=	659	=	
	=	Q13885	=	7280	=	
	=	Q13888	=	2966	=	
	=	Q13905	=	2889	=	
	=	Q13950	=	860	=	
	=	Q13951	=	865	=	
	=	Q13952	=	4802	=	
	=	Q13956	=	5149	=	
	=	Q13972	=	5923	=	
P14619	=	Q13976	=	5592	=	
	=	Q14008	=	9793	=	
Q9UMG2	=	Q14028	=	1258	=	
	=	Q14031	=	1288	=	
	=	Q14114	=	7804	=	
	=	Q14116	=	3606	=	
	=	Q14152	=	8661	=	
	=	Q14155	=	8874	=	
	=	Q14161	=	9815	=	
	=	Q14185	=	1793	=	
	=	Q14186	=	7027	=	
	=	Q14188	=	7029	=	
	=	Q14191	=	7486	=	
	=	Q14192	=	2274	=	
	=	Q14203	=	1639	=	
	=	Q14204	=	1778	=	
	=	Q14206	=	10231	=	
	=	Q14209	=	1870	=	
	=	Q14213	=	10148	=	
	=	Q14242	=	6404	=	
	=	Q14247	=	2017	=	
	=	Q14254	=	2319	=	
	=	Q14289	=	2185	=	
	=	Q14318	=	23770	=	
	=	Q14332	=	2535	=	
	=	Q14344	=	10672	=	
	=	Q14449	=	2888	=	
	=	Q14451	=	2886	=	
	=	Q14469	=	3280	=	
	=	Q14526	=	3090	=	
	=	Q14582	=	10608	=	
	=	Q14623	=	3549	=	
	=	Q14627	=	3598	=	
	=	Q14676	=	9656	=	
	=	Q14683	=	8243	=	
	=	Q14686	=	23054	=	
	=	Q14738	=	5528	=	
	=	Q14765	=	6775	=	
	=	Q14773	=	3386	=	
	=	Q14774	=	3142	=	
	=	Q14790	=	841	=	
	=	Q14814	=	4209	=	
	=	Q14839	=	1108	=	
	=	Q14934	=	4776	=	
	=	Q14974	=	3837	=	
	=	Q14980	=	4926	=	
	=	Q14994	=	9970	=	
	=	Q15003	=	23397	=	
	=	Q15019	=	4735	=	
	=	Q15021	=	9918	=	
	=	Q15027	=	9744	=	
	=	Q15047	=	9869	=	
	=	Q15052	=	9459	=	
	=	Q15057	=	23527	=	
	=	Q15078	=	8851	=	
	=	Q15102	=	5050	=	
	=	Q15109	=	177	=	
	=	Q15121	=	8682	=	
	=	Q15139	=	5587	=	
	=	Q15172	=	5525	=	
	=	Q15185	=	10728	=	
	=	Q15223	=	5818	=	
	=	Q15233	=	4841	=	
	=	Q15257	=	5524	=	
	=	Q15262	=	5796	=	
	=	Q15283	=	5922	=	
	=	Q15303	=	2066	=	
	=	Q15306	=	3662	=	
	=	Q15311	=	10928	=	
	=	Q15329	=	1875	=	
	=	Q15369	=	6921	=	
	=	Q15370	=	6923	=	
	=	Q15375	=	2045	=	
	=	Q15382	=	6009	=	
	=	Q15389	=	284	=	
	=	Q15398	=	9787	=	
	=	Q15399	=	7096	=	
	=	Q15418	=	6195	=	
	=	Q15424	=	6294	=	
	=	Q15438	=	9267	=	
	=	Q15464	=	6461	=	
	=	Q15465	=	6469	=	
	=	Q15466	=	8431	=	
	=	Q15468	=	6491	=	
	=	Q15554	=	7014	=	
	=	Q15582	=	7045	=	
	=	Q15583	=	7050	=	
	=	Q15596	=	10499	=	
	=	Q15599	=	9351	=	
	=	Q15628	=	8717	=	
	=	Q15642	=	9322	=	
	=	Q15648	=	5469	=	
	=	Q15653	=	4793	=	
	=	Q15654	=	7205	=	
	=	Q15672	=	7291	=	
	=	Q15691	=	22919	=	
	=	Q15723	=	1998	=	
	=	Q15746	=	4638	=	
	=	Q15750	=	10454	=	
	=	Q15759	=	5600	=	
	=	Q15768	=	1949	=	
	=	Q15788	=	8648	=	
	=	Q15796	=	4087	=	
	=	Q15797	=	4086	=	
	=	Q15811	=	6453	=	
	=	Q15831	=	6794	=	
	=	Q15835	=	6011	=	
	=	Q15836	=	9341	=	
	=	Q15843	=	4738	=	
	=	Q15853	=	7392	=	
	=	Q15911	=	463	=	
	=	Q15942	=	7791	=	
	=	Q16186	=	11047	=	
	=	Q16254	=	1874	=	
	=	Q16281	=	1261	=	
	=	Q16288	=	4916	=	
	=	Q16363	=	3910	=	
	=	Q16512	=	5585	=	
	=	Q16513	=	5586	=	
	=	Q16514	=	6883	=	
	=	Q16518	=	6121	=	
	=	Q16526	=	1407	=	
	=	Q16527	=	1466	=	
	=	Q16539	=	1432	=	
	=	Q16543	=	11140	=	
	=	Q16548	=	597	=	
	=	Q16552	=	3605	=	
	=	Q16566	=	814	=	
	=	Q16576	=	5931	=	
	=	Q16584	=	4296	=	
	=	Q16594	=	6880	=	
	=	Q16595	=	2395	=	
	=	Q16611	=	578	=	
	=	Q16620	=	4915	=	
	=	Q16623	=	6804	=	
	=	Q16625	=	100506658	=	
	=	Q16644	=	7867	=	
	=	Q16665	=	3091	=	
	=	Q16671	=	269	=	
	=	Q16690	=	1847	=	
	=	Q16739	=	7357	=	
	=	Q16775	=	3029	=	
	=	Q16787	=	3909	=	
	=	Q16790	=	768	=	
	=	Q16820	=	4225	=	
	=	Q16821	=	5506	=	
	=	Q16822	=	5106	=	
	=	Q16825	=	11099	=	
	=	Q16827	=	5800	=	
	=	Q16828	=	1848	=	
	=	Q16836	=	3033	=	
	=	Q16875	=	5209	=	
	=	Q17RW2	=	255631	=	
	=	Q2M2Z5	=	55857	=	
	=	Q2MKA7	=	284654	=	
	=	Q2NKX8	=	54821	=	
